"","u","g","z","redshift","MJD","cam_col","fieldbin","runbin","class"
"1568",0.7702,0.78562,1.60188,-0.10605,1.4561,"2","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"1569",-0.1858,-0.73864,-1.64704,-0.78926,-1.15768,"4","(-0.774,-0.45]","(-0.327,0.048]","STAR"
"1570",-1.43572,-1.47687,-1.3098,-0.7252,-2.03134,"6","(-0.06,0.58]","(-2.23,-0.831]","GALAXY"
"1571",0.29193,0.41636,-0.21547,-0.1538,0.28054,"3","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"1572",-0.54451,-0.71626,-1.14331,-0.4671,-1.87319,"5","(0.58,5.4]","(0.048,0.8]","GALAXY"
"1573",-0.70282,-0.7435,-0.38359,-0.78906,0.55811,"4","(0.58,5.4]","(-2.23,-0.831]","STAR"
"1574",-2.12691,-2.38134,-2.19219,-0.78964,-0.57764,"4","(-0.06,0.58]","(-0.327,0.048]","STAR"
"1575",1.74781,0.28066,-0.32949,-0.2628,0.34578,"2","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"1576",0.07779,0.65137,1.51184,0.09816,1.24211,"2","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"1577",0.36511,1.68877,0.66003,0.02751,1.4279,"1","(0.58,5.4]","(0.048,0.8]","GALAXY"
"1578",0.37974,1.06923,0.22262,0.08729,-0.17454,"5","(-1.18,-0.774]","(-2.23,-0.831]","GALAXY"
"1579",0.68347,0.66056,0.2924,0.07045,0.42928,"3","(0.58,5.4]","(0.048,0.8]","GALAXY"
"1580",1.13379,1.72582,0.24088,-0.78865,1.37924,"6","(-1.18,-0.774]","(-2.23,-0.831]","STAR"
"1581",-0.96275,-0.99289,-0.95658,-0.5526,-1.62381,"3","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"1582",1.3326,1.01788,0.32781,-0.0215,0.16608,"6","(-1.18,-0.774]","(-2.23,-0.831]","GALAXY"
"1583",0.24776,0.24591,-0.31769,-0.2177,0.15502,"3","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"1584",1.50367,1.5115,0.14311,0.10665,0.54263,"5","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"1585",1.46469,1.19931,1.24862,0.23378,1.18073,"6","(-0.45,-0.06]","(0.8,1.9]","GALAXY"
"1586",0.15249,0.27199,1.20753,-0.78944,0.24625,"5","(-0.45,-0.06]","(0.048,0.8]","STAR"
"1587",0.38298,0.30071,-0.28068,-0.14617,-0.78002,"3","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"1588",-1.1461,-1.49852,-1.82284,-0.55256,-0.95696,"4","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"1589",0.74167,1.45568,0.6069,0.2183,1.147,"5","(0.58,5.4]","(0.8,1.9]","GALAXY"
"1590",-0.73381,-0.11824,0.76107,1.735,-1.69625,"5","(-1.18,-0.774]","(-0.327,0.048]","QSO"
"1591",-0.29044,-0.80997,-1.28186,-0.42947,-1.83725,"2","(-0.45,-0.06]","(-2.23,-0.831]","GALAXY"
"1592",-0.52778,-1.07289,-1.51104,-0.52017,-1.21906,"1","(-0.774,-0.45]","(-0.327,0.048]","GALAXY"
"1593",-0.06326,0.23621,0.70456,0.48015,-0.20993,"6","(-0.06,0.58]","(-0.327,0.048]","QSO"
"1594",1.04906,0.65754,0.1593,-0.1757,0.08977,"3","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"1595",1.57795,1.16965,0.38401,0.0659,0.77542,"2","(-0.06,0.58]","(-2.23,-0.831]","GALAXY"
"1596",0.51982,0.11152,-0.51644,-0.32367,0.54153,"4","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"1597",0.01072,0.39573,1.27509,-0.78683,0.33085,"1","(-0.45,-0.06]","(0.8,1.9]","STAR"
"1598",0.41229,0.93279,1.75361,-0.05629,1.02978,"4","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"1599",-0.91633,-1.40376,-1.41317,-0.78907,-0.35867,"5","(-0.45,-0.06]","(-0.327,0.048]","STAR"
"1600",0.53723,1.2874,0.55207,-0.00149,0.54263,"4","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"1601",0.1186,0.52902,1.22251,-0.78946,1.04692,"2","(-0.45,-0.06]","(-0.831,-0.327]","STAR"
"1602",-0.80197,-0.94267,-0.68473,-0.78953,-0.76509,"2","(-0.774,-0.45]","(0.8,1.9]","STAR"
"1603",-1.29767,-1.72983,-1.88238,-0.67782,-1.66528,"1","(-1.18,-0.774]","(-2.23,-0.831]","GALAXY"
"1604",-0.73513,-0.03245,0.80358,0.91754,1.3715,"2","(-0.06,0.58]","(0.8,1.9]","QSO"
"1605",-0.06408,-0.06247,-0.54599,-0.35627,0.52383,"5","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"1606",-0.10367,0.53665,1.15303,0.59726,1.02923,"6","(-0.45,-0.06]","(-0.831,-0.327]","QSO"
"1607",0.73108,0.74992,0.16937,-0.14054,-0.00091,"4","(-1.18,-0.774]","(-2.23,-0.831]","GALAXY"
"1608",0.01633,0.21127,0.1615,-0.05951,0.62557,"4","(0.58,5.4]","(-2.23,-0.831]","GALAXY"
"1609",-0.88564,-1.11912,-1.11566,-0.72892,-0.75016,"2","(-1.18,-0.774]","(0.048,0.8]","GALAXY"
"1610",1.22318,2.16775,0.51059,0.30018,1.34164,"6","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"1611",1.34057,0.03466,-0.50862,-0.42541,0.28219,"5","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"1612",1.03765,1.17467,0.57727,0.03372,0.5548,"4","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"1613",0.43692,0.94558,1.32689,0.29498,1.37758,"2","(0.58,5.4]","(-0.327,0.048]","GALAXY"
"1614",-0.09812,0.56804,0.05032,-0.23832,0.96453,"5","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"1615",0.09548,0.91854,0.38205,-0.1427,0.40937,"3","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"1616",-0.18318,0.36697,1.45976,1.42239,1.48872,"3","(-1.18,-0.774]","(-2.23,-0.831]","QSO"
"1617",0.745,0.51151,0.22895,-0.16439,0.2833,"3","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"1618",0.00239,-0.10079,-0.32466,-0.49788,1.35491,"4","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"1619",-2.2673,-2.48557,-2.27883,-0.78969,-0.4018,"6","(-0.774,-0.45]","(-2.23,-0.831]","STAR"
"1620",1.06091,1.21013,1.86469,0.31663,1.37924,"5","(-0.774,-0.45]","(-0.327,0.048]","GALAXY"
"1621",-0.94856,-0.40278,0.96458,-0.78935,-1.40098,"3","(-0.45,-0.06]","(-0.327,0.048]","STAR"
"1622",0.25035,0.61808,0.07302,-0.07284,0.53876,"1","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"1623",0.092,0.9975,0.66865,0.41684,0.64272,"3","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"1624",-1.80152,-1.76551,-1.33961,-0.78979,1.35989,"5","(-0.45,-0.06]","(0.8,1.9]","STAR"
"1625",-0.4691,-0.80623,-1.07505,-0.48275,-1.8096,"6","(0.58,5.4]","(-2.23,-0.831]","GALAXY"
"1626",0.64177,0.3737,1.07379,-0.78844,-0.02856,"3","(-0.45,-0.06]","(-2.23,-0.831]","STAR"
"1627",0.66311,0.71019,1.25187,0.66227,0.26174,"1","(0.58,5.4]","(-0.831,-0.327]","QSO"
"1628",-2.11236,-2.28039,-2.08685,1.18376,-1.1715,"6","(-1.18,-0.774]","(-0.327,0.048]","QSO"
"1629",0.62981,0.70301,0.38413,0.09251,0.75607,"5","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"1630",0.15037,0.82113,1.94365,0.60872,1.35768,"1","(-1.18,-0.774]","(0.8,1.9]","QSO"
"1631",0.04107,0.40912,1.02446,3.17059,0.85228,"5","(-0.774,-0.45]","(-2.23,-0.831]","QSO"
"1632",1.33166,0.53405,0.21421,-0.14255,0.28385,"1","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"1633",-0.53392,-0.08797,0.6617,0.7834,0.00074,"4","(-0.774,-0.45]","(-0.327,0.048]","QSO"
"1634",0.03285,0.18851,1.03571,2.56956,1.14866,"3","(-0.774,-0.45]","(0.8,1.9]","QSO"
"1635",0.78283,0.45022,-0.34212,-0.00063,-0.07667,"2","(-0.45,-0.06]","(-2.23,-0.831]","GALAXY"
"1636",-0.34319,0.1865,1.01823,1.53481,1.44006,"5","(-0.45,-0.06]","(-0.327,0.048]","QSO"
"1637",-1.04325,-1.05333,-0.93901,-0.6615,-0.55663,"2","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"1638",1.08996,0.8439,0.24261,-0.07727,0.28385,"2","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"1639",-0.79264,-0.25755,0.57142,0.94732,0.88878,"2","(-0.774,-0.45]","(-0.327,0.048]","QSO"
"1640",-0.8763,-1.03831,-0.91676,-0.72747,-1.16874,"2","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"1641",0.41658,0.15516,-0.32508,-0.30675,-1.44576,"4","(-0.774,-0.45]","(-0.831,-0.327]","GALAXY"
"1642",1.81045,-0.2772,0.1843,3.97779,-0.17509,"1","(-0.774,-0.45]","(-2.23,-0.831]","QSO"
"1643",0.58893,0.75562,0.17219,-0.08254,0.41214,"3","(-0.774,-0.45]","(-0.831,-0.327]","GALAXY"
"1644",-0.92788,-0.51113,-0.28633,-0.56241,-0.97465,"3","(-0.45,-0.06]","(0.048,0.8]","QSO"
"1645",-0.68931,-0.64341,0.16228,-0.78907,-2.19722,"4","(0.58,5.4]","(-2.23,-0.831]","STAR"
"1646",-0.05181,0.56409,1.37199,1.66682,1.24322,"4","(-0.774,-0.45]","(-0.831,-0.327]","QSO"
"1647",-0.13656,0.43772,1.25809,1.79197,1.24156,"5","(-0.45,-0.06]","(-0.831,-0.327]","QSO"
"1648",-0.14748,0.44072,1.2042,0.88597,0.81579,"5","(-1.18,-0.774]","(-2.23,-0.831]","QSO"
"1649",0.71986,0.16743,-0.37937,-0.31605,0.22801,"6","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"1650",1.20537,1.42309,0.26726,0.18209,0.06544,"6","(0.58,5.4]","(-0.831,-0.327]","GALAXY"
"1651",-1.29523,-0.79939,0.07658,0.65708,-0.9929,"1","(0.58,5.4]","(0.048,0.8]","QSO"
"1652",0.28637,0.44336,-0.25569,-0.24151,0.14838,"4","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"1653",0.48218,-0.1407,-0.75506,-0.28223,-0.61358,"1","(-0.45,-0.06]","(0.048,0.8]","GALAXY"
"1654",-0.33777,0.38187,1.21563,1.17735,0.75552,"2","(-0.45,-0.06]","(-0.327,0.048]","QSO"
"1655",0.90505,1.15857,0.49694,-0.78944,-1.5934,"3","(-1.18,-0.774]","(-0.831,-0.327]","STAR"
"1656",0.13965,0.41208,1.16831,-0.78957,0.31814,"4","(-0.774,-0.45]","(0.048,0.8]","STAR"
"1657",-0.53325,-0.5407,-0.1859,-0.78929,-0.78112,"6","(-0.45,-0.06]","(-0.831,-0.327]","STAR"
"1658",0.14114,0.86768,1.49131,2.21187,1.84759,"6","(-0.45,-0.06]","(-2.23,-0.831]","QSO"
"1659",-0.48755,-1.15811,-1.45785,-0.50636,-0.56492,"3","(0.58,5.4]","(0.048,0.8]","GALAXY"
"1660",-1.67604,-1.94703,-2.06875,-0.71841,-0.95696,"3","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"1661",-2.31984,-2.75829,-2.94878,-0.73907,-1.38605,"4","(-0.774,-0.45]","(-0.831,-0.327]","GALAXY"
"1662",-0.49842,0.07468,0.86218,0.90581,1.02978,"3","(-1.18,-0.774]","(-0.831,-0.327]","QSO"
"1663",1.64729,1.62467,0.52916,0.18578,-0.1585,"1","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"1664",1.26529,0.78076,0.06936,-0.16565,-0.06561,"3","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"1665",-0.6633,-0.31105,-0.25825,0.05135,-1.18699,"5","(-0.774,-0.45]","(-0.327,0.048]","GALAXY"
"1666",-0.34929,-0.03616,0.80397,2.93019,0.24846,"3","(0.58,5.4]","(0.048,0.8]","QSO"
"1667",-1.06111,-1.25483,-1.2969,-0.67565,-0.78278,"3","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"1668",0.72813,0.49105,-0.14658,-0.06885,0.3762,"2","(-0.45,-0.06]","(0.8,1.9]","GALAXY"
"1669",1.33882,-0.28517,-0.24437,4.78218,0.23188,"5","(-1.18,-0.774]","(-2.23,-0.831]","QSO"
"1670",0.99619,1.70525,0.61245,0.21584,1.00213,"6","(-0.45,-0.06]","(-2.23,-0.831]","GALAXY"
"1671",0.20381,1.06307,0.46881,0.19851,0.75828,"3","(0.58,5.4]","(0.8,1.9]","GALAXY"
"1672",0.19063,0.55476,1.13248,0.27288,0.75109,"3","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"1673",0.50467,0.11022,-0.62801,-0.78907,0.08258,"3","(0.58,5.4]","(-0.831,-0.327]","STAR"
"1674",-0.1046,0.37949,1.43036,-0.78916,1.55231,"4","(-0.06,0.58]","(-2.23,-0.831]","STAR"
"1675",-1.08165,-1.42137,-1.56321,-0.6482,-1.46844,"4","(-1.18,-0.774]","(-0.831,-0.327]","GALAXY"
"1676",-0.12165,0.38441,1.42509,0.86849,0.59184,"2","(-0.06,0.58]","(-2.23,-0.831]","QSO"
"1677",-0.93916,-1.29221,-1.50108,-0.60295,-1.77809,"5","(0.58,5.4]","(-2.23,-0.831]","GALAXY"
"1678",-0.18921,-0.4147,-0.67491,-0.4571,-0.05953,"4","(0.58,5.4]","(0.048,0.8]","GALAXY"
"1679",1.98799,0.98634,0.30676,-0.04968,0.16939,"1","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"1680",0.96094,0.0917,0.59431,-0.7884,-1.21795,"2","(-1.18,-0.774]","(-0.327,0.048]","STAR"
"1681",0.6325,0.70696,0.2046,-0.17189,0.04664,"3","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"1682",0.48094,0.42992,2.48867,-0.78743,0.96785,"3","(-0.06,0.58]","(0.8,1.9]","STAR"
"1683",0.3961,1.28826,1.40788,0.53522,1.3433,"4","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"1684",-0.20925,0.30879,1.16343,2.06033,0.0013,"3","(-0.45,-0.06]","(-2.23,-0.831]","QSO"
"1685",1.15236,0.99898,0.39401,-0.12789,0.39389,"2","(-0.45,-0.06]","(0.8,1.9]","GALAXY"
"1686",-0.38911,-0.66808,-1.00461,-0.49299,-0.61247,"3","(-0.774,-0.45]","(0.048,0.8]","GALAXY"
"1687",0.57016,1.05396,0.49332,0.16497,-0.14745,"4","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"1688",1.16231,0.70757,1.16549,-0.78887,0.97835,"6","(-0.06,0.58]","(-0.327,0.048]","STAR"
"1689",0.35476,0.5796,2.07579,1.46576,1.14037,"4","(-1.18,-0.774]","(0.8,1.9]","QSO"
"1690",-0.72003,-0.76545,-1.17534,-0.44646,0.35795,"2","(-0.45,-0.06]","(0.8,1.9]","GALAXY"
"1691",-1.94793,-1.45042,-0.08561,-0.78913,0.39887,"5","(-0.45,-0.06]","(0.048,0.8]","STAR"
"1692",1.21063,-0.26196,-0.65136,-0.34981,-0.17067,"1","(-0.774,-0.45]","(-0.327,0.048]","GALAXY"
"1693",1.75615,-0.16722,-0.65607,-0.32663,-0.57266,"6","(-0.774,-0.45]","(-0.327,0.048]","GALAXY"
"1694",-1.33203,-0.83379,-0.08137,2.09487,-1.35176,"3","(0.58,5.4]","(-0.327,0.048]","QSO"
"1695",-0.90128,-1.37011,-1.31504,-0.78919,0.63608,"4","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"1696",1.85272,0.78769,-0.14746,0.02474,0.55756,"6","(0.58,5.4]","(0.8,1.9]","GALAXY"
"1697",0.05689,0.30081,1.77322,2.63631,0.59572,"1","(0.58,5.4]","(-2.23,-0.831]","QSO"
"1698",0.56964,1.59785,0.57326,0.2823,0.85284,"6","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"1699",-1.18655,-1.1439,-0.99433,-0.60794,-1.15713,"4","(-0.06,0.58]","(-0.327,0.048]","GALAXY"
"1700",-0.62835,-0.82691,-0.85384,-0.71565,-1.75818,"2","(-0.45,-0.06]","(-2.23,-0.831]","GALAXY"
"1701",-0.84004,-1.21524,-1.52307,-0.5639,-1.0117,"3","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"1702",0.78748,1.69841,0.51844,0.12563,0.98665,"3","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"1703",1.63521,0.80939,0.07682,-0.14413,-0.14302,"6","(-0.774,-0.45]","(-0.327,0.048]","GALAXY"
"1704",0.05393,0.59763,1.28791,2.49256,0.04996,"2","(-0.45,-0.06]","(-0.327,0.048]","QSO"
"1705",-0.3636,-0.39929,-0.8656,-0.46354,0.33251,"2","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"1706",0.59093,1.25403,1.27098,0.32329,1.22607,"4","(-0.45,-0.06]","(0.048,0.8]","GALAXY"
"1707",0.01669,0.52237,0.14792,0.06091,0.54374,"4","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"1708",-0.07434,0.60042,1.53579,1.72032,1.06793,"6","(-0.06,0.58]","(-0.327,0.048]","QSO"
"1709",0.23046,-0.11981,-0.14535,-0.78916,0.39942,"1","(-0.45,-0.06]","(-0.327,0.048]","STAR"
"1710",0.47947,0.96907,1.41635,0.437,1.29685,"5","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"1711",0.84773,0.87406,-0.21777,-0.20869,-0.02414,"1","(-0.774,-0.45]","(0.048,0.8]","GALAXY"
"1712",-1.22863,-1.10163,-0.41347,-0.79031,0.49563,"3","(-0.774,-0.45]","(0.048,0.8]","STAR"
"1713",-1.56432,-1.76514,-1.69264,-0.74922,-0.9741,"3","(-0.45,-0.06]","(-0.327,0.048]","GALAXY"
"1714",-1.73653,-2.16441,-2.48553,-0.70791,-0.58151,"5","(-1.18,-0.774]","(0.048,0.8]","GALAXY"
"1715",-1.73259,-1.77659,-1.40428,-0.75388,-1.56797,"2","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"1716",-0.06286,-0.07945,-0.51538,-0.35131,0.54097,"2","(-0.774,-0.45]","(-0.327,0.048]","GALAXY"
"1717",0.12236,0.43918,1.29568,2.66224,0.4431,"5","(-0.774,-0.45]","(-0.831,-0.327]","QSO"
"1718",-0.06288,0.39024,1.18589,-0.78981,0.33362,"5","(-0.774,-0.45]","(0.8,1.9]","STAR"
"1719",-1.25909,-1.20129,-1.1033,-0.57291,-1.88867,"2","(-0.45,-0.06]","(-2.23,-0.831]","GALAXY"
"1720",1.02578,1.00895,0.53495,0.02368,0.97946,"5","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"1721",0.51493,-0.79137,-0.34697,3.73812,1.14921,"4","(-0.06,0.58]","(-0.327,0.048]","QSO"
"1722",-1.20874,-0.53995,0.66521,-0.31074,-1.61275,"1","(-0.06,0.58]","(-2.23,-0.831]","QSO"
"1723",-0.73509,-0.9705,-0.93582,-0.61085,-1.83836,"4","(-1.18,-0.774]","(-2.23,-0.831]","GALAXY"
"1724",-0.81826,-0.60301,0.29744,2.91425,0.28441,"3","(-0.45,-0.06]","(0.048,0.8]","QSO"
"1725",-0.02304,0.50068,1.65406,-0.40226,-0.17177,"6","(-0.45,-0.06]","(-2.23,-0.831]","QSO"
"1726",1.59523,1.09173,0.48227,-0.00394,0.00074,"2","(0.58,5.4]","(0.048,0.8]","GALAXY"
"1727",1.2422,0.4966,2.02356,-0.62451,-0.0269,"2","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"1728",-0.38116,-0.94081,-1.06559,-0.59642,-1.69514,"6","(-0.774,-0.45]","(-0.327,0.048]","GALAXY"
"1729",1.49302,0.53728,1.1888,-0.78958,0.01567,"3","(-0.774,-0.45]","(-0.831,-0.327]","STAR"
"1730",-0.14344,0.51349,1.30441,1.46555,0.37398,"5","(-0.774,-0.45]","(0.8,1.9]","QSO"
"1731",0.28496,0.82873,1.33385,0.38235,1.22607,"3","(-0.45,-0.06]","(0.048,0.8]","GALAXY"
"1732",0.35896,0.61702,-0.01523,-0.11071,-0.1773,"2","(-1.18,-0.774]","(-0.327,0.048]","GALAXY"
"1733",-0.72398,-0.17262,0.56081,0.28625,0.97725,"4","(-1.18,-0.774]","(0.8,1.9]","QSO"
"1734",-1.75032,-1.27896,-0.39747,0.67106,1.15198,"3","(-0.06,0.58]","(0.8,1.9]","QSO"
"1735",1.6282,1.66652,0.47201,0.20746,0.98665,"3","(-0.45,-0.06]","(0.8,1.9]","GALAXY"
"1736",0.05006,0.47622,1.36511,2.39495,0.16165,"5","(-0.06,0.58]","(0.8,1.9]","QSO"
"1737",-0.66639,-0.8688,-1.08781,-0.5638,-1.9683,"5","(0.58,5.4]","(-2.23,-0.831]","GALAXY"
"1738",-2.29465,-2.37832,-1.97485,-0.78924,-1.30532,"4","(-0.774,-0.45]","(-0.327,0.048]","STAR"
"1739",-0.5232,-1.11293,-0.982,-0.78968,0.5277,"3","(-0.06,0.58]","(0.8,1.9]","STAR"
"1740",1.03259,0.15974,-0.40978,-0.31595,0.28385,"4","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"1741",1.33319,1.76369,0.64322,0.45317,1.0989,"6","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"1742",-0.958,-0.71082,0.08082,2.83671,0.24902,"3","(-1.18,-0.774]","(0.048,0.8]","QSO"
"1743",0.12148,-0.26324,-0.72417,-0.37275,0.26395,"5","(-1.18,-0.774]","(0.048,0.8]","GALAXY"
"1744",-1.62535,-1.62241,-1.29087,-0.66199,-2.09769,"1","(-0.45,-0.06]","(-0.327,0.048]","GALAXY"
"1745",0.51879,-0.39292,-0.87604,-0.43011,0.01567,"4","(-0.774,-0.45]","(-0.831,-0.327]","GALAXY"
"1746",-0.63425,-0.75497,-0.27098,-0.78974,-0.72804,"2","(-0.45,-0.06]","(-0.831,-0.327]","STAR"
"1747",-1.31919,-1.67183,-1.93167,-0.62866,-0.79329,"1","(-0.45,-0.06]","(0.048,0.8]","GALAXY"
"1748",0.54611,0.73119,0.44671,0.1275,0.23298,"6","(0.58,5.4]","(-0.831,-0.327]","GALAXY"
"1749",1.02139,0.40493,-0.26614,-0.06809,0.42817,"6","(-0.774,-0.45]","(0.048,0.8]","GALAXY"
"1750",-0.91375,-1.18832,-1.1879,-0.64963,-1.02552,"3","(0.58,5.4]","(0.048,0.8]","GALAXY"
"1751",-0.07316,0.13714,1.40732,-0.77199,1.06406,"2","(-0.774,-0.45]","(-0.831,-0.327]","GALAXY"
"1752",-0.30757,0.27483,0.86985,2.11375,1.24211,"2","(-1.18,-0.774]","(-0.831,-0.327]","QSO"
"1753",1.52469,1.06654,0.40668,-0.78918,1.09779,"4","(-0.774,-0.45]","(0.8,1.9]","STAR"
"1754",-0.6326,-0.25935,0.64227,-0.55298,-0.14357,"5","(0.58,5.4]","(-0.327,0.048]","GALAXY"
"1755",1.82034,0.34134,0.68889,3.87852,1.6159,"1","(-1.18,-0.774]","(-0.327,0.048]","QSO"
"1756",0.36355,0.61072,0.23317,-0.1813,0.28054,"3","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"1757",-0.94553,-1.09819,-1.13417,-0.61878,-1.97493,"5","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"1758",1.2463,1.56638,0.67177,0.3818,0.41601,"5","(-0.45,-0.06]","(-2.23,-0.831]","GALAXY"
"1759",-1.51528,-1.56672,-1.3175,-0.66955,-1.94065,"1","(-1.18,-0.774]","(0.8,1.9]","GALAXY"
"1760",0.1557,0.25131,0.05787,-0.06142,0.13511,"2","(-0.06,0.58]","(0.8,1.9]","GALAXY"
"1761",2.00203,1.5353,0.49621,0.05146,0.77598,"2","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"1762",0.03096,0.42067,1.52252,-0.78909,0.64106,"5","(-0.774,-0.45]","(-0.831,-0.327]","STAR"
"1763",0.35653,-0.02155,0.50925,-0.78969,0.04996,"4","(-0.774,-0.45]","(-0.831,-0.327]","STAR"
"1764",-1.09261,-0.92484,-0.57409,-0.65681,-1.56354,"3","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"1765",-1.09614,-0.68824,-0.70693,-0.39335,-2.08608,"5","(0.58,5.4]","(-0.327,0.048]","QSO"
"1766",-1.12236,-0.7017,-0.28288,-0.34323,-1.76094,"3","(-1.18,-0.774]","(-2.23,-0.831]","QSO"
"1767",-1.5052,-1.623,-1.64942,-0.74318,-1.95337,"6","(0.58,5.4]","(-2.23,-0.831]","GALAXY"
"1768",-0.06059,-0.26783,-0.69773,-0.42404,0.52383,"4","(-0.774,-0.45]","(0.8,1.9]","GALAXY"
"1769",0.50158,0.99195,1.63492,0.33267,1.37537,"2","(-0.774,-0.45]","(-2.23,-0.831]","GALAXY"
"1770",0.8959,0.7955,0.38189,-0.07326,-0.0164,"4","(0.58,5.4]","(0.8,1.9]","GALAXY"
"1771",0.04326,0.50823,1.01884,0.21279,0.98001,"3","(-0.06,0.58]","(0.8,1.9]","QSO"
"1772",-0.66858,-0.91239,-0.77916,-0.63049,-0.94811,"2","(0.58,5.4]","(0.048,0.8]","GALAXY"
"1773",0.43499,0.55944,1.52203,1.11195,0.2457,"4","(-0.06,0.58]","(0.048,0.8]","QSO"
"1774",-1.24835,-1.24616,-0.75183,-0.78972,0.77542,"3","(-0.45,-0.06]","(-2.23,-0.831]","STAR"
"1775",-0.9634,-0.47289,0.3756,1.03477,0.75939,"6","(-0.774,-0.45]","(-2.23,-0.831]","QSO"
"1776",1.46853,1.233,0.59991,8.00695,1.45721,"3","(-1.18,-0.774]","(-0.831,-0.327]","QSO"
"1777",-1.30897,-1.50498,-1.19588,-0.78916,0.55811,"4","(0.58,5.4]","(-2.23,-0.831]","STAR"
"1778",0.08173,0.44356,0.27978,0.02756,0.03337,"5","(0.58,5.4]","(-0.327,0.048]","GALAXY"
"1779",0.93027,1.00515,0.27876,-0.04334,-0.02801,"1","(-0.774,-0.45]","(-0.831,-0.327]","GALAXY"
"1780",1.33835,0.83122,0.19566,-0.12235,0.56309,"6","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"1781",-0.16255,0.3823,1.10586,1.3949,1.55231,"3","(-0.774,-0.45]","(-2.23,-0.831]","QSO"
"1782",0.67623,0.62674,0.1439,-0.00079,0.59129,"2","(-1.18,-0.774]","(-2.23,-0.831]","GALAXY"
"1783",-0.29182,-0.00325,0.67345,2.69182,-0.19223,"4","(-1.18,-0.774]","(-0.327,0.048]","QSO"
"1784",1.74614,1.34839,1.89951,-0.45125,1.2598,"2","(-1.18,-0.774]","(0.048,0.8]","QSO"
"1785",-0.66864,-0.94593,-1.0921,-0.62713,-0.58759,"2","(-1.18,-0.774]","(-2.23,-0.831]","GALAXY"
"1786",-0.87201,-0.75355,-0.36162,-0.78925,-0.8331,"6","(-0.06,0.58]","(0.048,0.8]","STAR"
"1787",0.89853,-0.07282,0.579,-0.7898,0.5277,"4","(-1.18,-0.774]","(0.8,1.9]","STAR"
"1788",0.55485,0.43347,-0.16172,-0.16678,0.25123,"2","(-0.774,-0.45]","(0.048,0.8]","GALAXY"
